Freq.	V(vo)
Step Information: Run=1  (Run: 1/30)
1.77827941003892e+001	(-4.26347112412995e-005dB,-1.90721224856752e-002°)
1.81970085860998e+001	(-4.26030490030416e-005dB,-1.95163693741716e-002°)
1.86208713666286e+001	(-4.25698945148334e-005dB,-1.99709641082104e-002°)
1.90546071796324e+001	(-4.25351775173772e-005dB,-2.04361477205211e-002°)
1.94984459975804e+001	(-4.24988243569282e-005dB,-2.09121668582386e-002°)
1.99526231496887e+001	(-4.24607579361133e-005dB,-2.13992739136813e-002°)
2.04173794466952e+001	(-4.24208975229940e-005dB,-2.18977271581771e-002°)
2.08929613085403e+001	(-4.23791585090190e-005dB,-2.24077908790040e-002°)
2.13796208950222e+001	(-4.23354524331326e-005dB,-2.29297355195234e-002°)
2.18776162394954e+001	(-4.22896864918946e-005dB,-2.34638378225771e-002°)
2.23872113856833e+001	(-4.22417637313827e-005dB,-2.40103809772236e-002°)
2.29086765276776e+001	(-4.21915824097688e-005dB,-2.45696547688935e-002°)
2.34422881531991e+001	(-4.21390361091827e-005dB,-2.51419557330420e-002°)
2.39883291901948e+001	(-4.20840134059103e-005dB,-2.57275873123813e-002°)
2.45470891568502e+001	(-4.20263975299850e-005dB,-2.63268600177763e-002°)
2.51188643150957e+001	(-4.19660663343298e-005dB,-2.69400915928857e-002°)
2.57039578276885e+001	(-4.19028918029481e-005dB,-2.75676071826427e-002°)
2.63026799189537e+001	(-4.18367399583488e-005dB,-2.82097395056558e-002°)
2.69153480392690e+001	(-4.17674704632775e-005dB,-2.88668290306295e-002°)
2.75422870333815e+001	(-4.16949363854204e-005dB,-2.95392241568918e-002°)
2.81838293126444e+001	(-4.16189838946046e-005dB,-3.02272813991303e-002°)
2.88403150312659e+001	(-4.15394518780310e-005dB,-3.09313655764279e-002°)
2.95120922666637e+001	(-4.14561716249379e-005dB,-3.16518500057067e-002°)
3.01995172040200e+001	(-4.13689664996942e-005dB,-3.23891166996738e-002°)
3.09029543251358e+001	(-4.12776515281017e-005dB,-3.31435565693821e-002°)
3.16227766016837e+001	(-4.11820330126282e-005dB,-3.39155696315078e-002°)
3.23593656929627e+001	(-4.10819081447470e-005dB,-3.47055652204567e-002°)
3.31131121482590e+001	(-4.09770645285587e-005dB,-3.55139622054143e-002°)
3.38844156139201e+001	(-4.08672798124182e-005dB,-3.63411892124482e-002°)
3.46736850452530e+001	(-4.07523210650133e-005dB,-3.71876848517877e-002°)
3.54813389233574e+001	(-4.06319444744957e-005dB,-3.80538979503992e-002°)
