x-axis,1,2,MATH
second,Volt,Volt,Volt
+45.8000E-06,+3.6367187500E+00,+5.0937500000E+00,+1.4548356521E+00
+45.9000E-06,+3.6250000000E+00,+5.0898437500E+00,+1.4661637772E+00
+46.0000E-06,+3.6171875000E+00,+5.0898437500E+00,+1.4704606523E+00
+46.1000E-06,+3.6171875000E+00,+5.0898437500E+00,+1.4743669023E+00
+46.2000E-06,+3.6093750000E+00,+5.0898437500E+00,+1.4786637774E+00
+46.3000E-06,+3.6015625000E+00,+5.0898437500E+00,+1.4880387775E+00
+46.4000E-06,+3.5976562500E+00,+5.0898437500E+00,+1.4938981526E+00
+46.5000E-06,+3.5859375000E+00,+5.0859375000E+00,+1.4993669027E+00
+46.6000E-06,+3.5742187500E+00,+5.0859375000E+00,+1.5091325279E+00
+46.7000E-06,+3.5703125000E+00,+5.0820312500E+00,+1.5130387779E+00
+46.8000E-06,+3.5742187500E+00,+5.0859375000E+00,+1.5153825280E+00
+46.9000E-06,+3.5664062500E+00,+5.0859375000E+00,+1.5196794030E+00
+47.0000E-06,+3.5585937500E+00,+5.0859375000E+00,+1.5282731531E+00
+47.1000E-06,+3.5507812500E+00,+5.0859375000E+00,+1.5345231532E+00
+47.2000E-06,+3.5390625000E+00,+5.0820312500E+00,+1.5407731533E+00
+47.3000E-06,+3.5351562500E+00,+5.0820312500E+00,+1.5466325284E+00
+47.4000E-06,+3.5273437500E+00,+5.0781250000E+00,+1.5536637785E+00
+47.5000E-06,+3.5195312500E+00,+5.0820312500E+00,+1.5595231536E+00
+47.6000E-06,+3.5156250000E+00,+5.0820312500E+00,+1.5642106537E+00
+47.7000E-06,+3.5078125000E+00,+5.0781250000E+00,+1.5700700288E+00
+47.8000E-06,+3.5039062500E+00,+5.0781250000E+00,+1.5751481538E+00
+47.9000E-06,+3.4960937500E+00,+5.0781250000E+00,+1.5806169039E+00
+48.0000E-06,+3.4882812500E+00,+5.0742187500E+00,+1.5856950290E+00
+48.1000E-06,+3.4804687500E+00,+5.0742187500E+00,+1.5927262791E+00
+48.2000E-06,+3.4804687500E+00,+5.0781250000E+00,+1.5962419042E+00
+48.3000E-06,+3.4765625000E+00,+5.0781250000E+00,+1.5993669042E+00
+48.4000E-06,+3.4609375000E+00,+5.0703125000E+00,+1.6095231544E+00
+48.5000E-06,+3.4570312500E+00,+5.0742187500E+00,+1.6169450295E+00
+48.6000E-06,+3.4570312500E+00,+5.0742187500E+00,+1.6181169045E+00
+48.7000E-06,+3.4531250000E+00,+5.0742187500E+00,+1.6224137796E+00
+48.8000E-06,+3.4453125000E+00,+5.0703125000E+00,+1.6271012796E+00
+48.9000E-06,+3.4375000000E+00,+5.0703125000E+00,+1.6321794047E+00
+49.0000E-06,+3.4375000000E+00,+5.0742187500E+00,+1.6360856548E+00
+49.1000E-06,+3.4296875000E+00,+5.0703125000E+00,+1.6415544048E+00
+49.2000E-06,+3.4218750000E+00,+5.0703125000E+00,+1.6485856549E+00
+49.3000E-06,+3.4101562500E+00,+5.0664062500E+00,+1.6552262800E+00
+49.4000E-06,+3.4101562500E+00,+5.0664062500E+00,+1.6567887801E+00
+49.5000E-06,+3.4140625000E+00,+5.0742187500E+00,+1.6583512801E+00
+49.6000E-06,+3.4101562500E+00,+5.0703125000E+00,+1.6610856551E+00
+49.7000E-06,+3.3984375000E+00,+5.0664062500E+00,+1.6704606553E+00
+49.8000E-06,+3.3828125000E+00,+5.0625000000E+00,+1.6794450304E+00
+49.9000E-06,+3.3828125000E+00,+5.0664062500E+00,+1.6841325305E+00
+50.0000E-06,+3.3828125000E+00,+5.0664062500E+00,+1.6853044055E+00
+50.1000E-06,+3.3710937500E+00,+5.0625000000E+00,+1.6915544056E+00
+50.2000E-06,+3.3593750000E+00,+5.0625000000E+00,+1.7040544058E+00
+50.3000E-06,+3.3671875000E+00,+5.0664062500E+00,+1.7013200307E+00
+50.4000E-06,+3.3593750000E+00,+5.0664062500E+00,+1.7067887808E+00
+50.5000E-06,+3.3476562500E+00,+5.0625000000E+00,+1.7165544060E+00
+50.6000E-06,+3.3281250000E+00,+5.0546875000E+00,+1.7267106561E+00
+50.7000E-06,+3.3320312500E+00,+5.0625000000E+00,+1.7294450311E+00
+50.8000E-06,+3.3320312500E+00,+5.0625000000E+00,+1.7306169062E+00
+50.9000E-06,+3.3281250000E+00,+5.0625000000E+00,+1.7372575313E+00
+51.0000E-06,+3.3203125000E+00,+5.0625000000E+00,+1.7411637813E+00
+51.1000E-06,+3.3085937500E+00,+5.0585937500E+00,+1.7489762814E+00
+51.2000E-06,+3.3007812500E+00,+5.0585937500E+00,+1.7575700316E+00
+51.3000E-06,+3.2929687500E+00,+5.0585937500E+00,+1.7649919067E+00
+51.4000E-06,+3.2929687500E+00,+5.0625000000E+00,+1.7685075317E+00
+51.5000E-06,+3.2851562500E+00,+5.0585937500E+00,+1.7731950318E+00
+51.6000E-06,+3.2734375000E+00,+5.0585937500E+00,+1.7845231570E+00
+51.7000E-06,+3.2695312500E+00,+5.0585937500E+00,+1.7860856570E+00
+51.8000E-06,+3.2656250000E+00,+5.0585937500E+00,+1.7927262821E+00
+51.9000E-06,+3.2578125000E+00,+5.0585937500E+00,+1.8005387822E+00
+52.0000E-06,+3.2539062500E+00,+5.0585937500E+00,+1.8044450323E+00
+52.1000E-06,+3.2421875000E+00,+5.0546875000E+00,+1.8095231573E+00
+52.2000E-06,+3.2343750000E+00,+5.0507812500E+00,+1.8173356575E+00
+52.3000E-06,+3.2304687500E+00,+5.0546875000E+00,+1.8239762826E+00
+52.4000E-06,+3.2265625000E+00,+5.0546875000E+00,+1.8278825326E+00
+52.5000E-06,+3.2187500000E+00,+5.0546875000E+00,+1.8329606577E+00
+52.6000E-06,+3.2148437500E+00,+5.0507812500E+00,+1.8376481578E+00
+52.7000E-06,+3.2070312500E+00,+5.0546875000E+00,+1.8478044079E+00
+52.8000E-06,+3.2070312500E+00,+5.0546875000E+00,+1.8466325329E+00
+52.9000E-06,+3.1953125000E+00,+5.0507812500E+00,+1.8552262830E+00
+53.0000E-06,+3.1796875000E+00,+5.0468750000E+00,+1.8657731582E+00
+53.1000E-06,+3.1914062500E+00,+5.0546875000E+00,+1.8646012832E+00
+53.2000E-06,+3.1914062500E+00,+5.0546875000E+00,+1.8653825332E+00
+53.3000E-06,+3.1718750000E+00,+5.0507812500E+00,+1.8778825334E+00
+53.4000E-06,+3.1562500000E+00,+5.0429687500E+00,+1.8868669085E+00
+53.5000E-06,+3.1562500000E+00,+5.0468750000E+00,+1.8907731585E+00
+53.6000E-06,+3.1601562500E+00,+5.0507812500E+00,+1.8915544086E+00
+53.7000E-06,+3.1406250000E+00,+5.0468750000E+00,+1.9028825337E+00
+53.8000E-06,+3.1445312500E+00,+5.0468750000E+00,+1.9040544087E+00
