x-axis,1,2,MATH
second,Volt,Volt,Volt
+47.1000E-06,+3.5234375000E+00,+5.0703125000E+00,+1.5446794034E+00
+47.2000E-06,+3.5234375000E+00,+5.0703125000E+00,+1.5481950284E+00
+47.3000E-06,+3.5507812500E+00,+5.0937500000E+00,+1.5423356534E+00
+47.4000E-06,+3.5468750000E+00,+5.0898437500E+00,+1.5438981534E+00
+47.5000E-06,+3.5234375000E+00,+5.0820312500E+00,+1.5567887786E+00
+47.6000E-06,+3.5039062500E+00,+5.0703125000E+00,+1.5700700288E+00
+47.7000E-06,+3.5078125000E+00,+5.0781250000E+00,+1.5739762788E+00
+47.8000E-06,+3.5468750000E+00,+5.1015625000E+00,+1.5552262785E+00
+47.9000E-06,+3.4726562500E+00,+5.0585937500E+00,+1.5853044040E+00
+48.0000E-06,+3.4453125000E+00,+5.0546875000E+00,+1.6099137794E+00
+48.1000E-06,+3.5078125000E+00,+5.0937500000E+00,+1.5849137790E+00
+48.2000E-06,+3.5156250000E+00,+5.0937500000E+00,+1.5771012789E+00
+48.3000E-06,+3.4843750000E+00,+5.0820312500E+00,+1.5974137792E+00
+48.4000E-06,+3.4453125000E+00,+5.0625000000E+00,+1.6161637795E+00
+48.5000E-06,+3.4414062500E+00,+5.0664062500E+00,+1.6243669046E+00
+48.6000E-06,+3.4687500000E+00,+5.0820312500E+00,+1.6134294044E+00
+48.7000E-06,+3.4492187500E+00,+5.0703125000E+00,+1.6208512795E+00
+48.8000E-06,+3.4375000000E+00,+5.0703125000E+00,+1.6349137797E+00
+48.9000E-06,+3.4492187500E+00,+5.0781250000E+00,+1.6306169047E+00
+49.0000E-06,+3.4453125000E+00,+5.0781250000E+00,+1.6329606547E+00
+49.1000E-06,+3.4296875000E+00,+5.0703125000E+00,+1.6415544048E+00
+49.2000E-06,+3.4062500000E+00,+5.0625000000E+00,+1.6532731550E+00
+49.3000E-06,+3.4062500000E+00,+5.0664062500E+00,+1.6591325301E+00
+49.4000E-06,+3.4296875000E+00,+5.0781250000E+00,+1.6505387800E+00
+49.5000E-06,+3.4140625000E+00,+5.0703125000E+00,+1.6552262800E+00
